"finding_id","fingerprint","rule_id","severity","security_severity","file","line","message","category","runtime_reachability","evidence","remediation","owner","review_date","expiry_date","source_sarif_parent_sha"
"run-1-result-1","rule:js/identity-replacement|primaryLocationLineHash:3b08fd5160f514c7:1|primaryLocationStartColumnFingerprint:67|artifact:geezle-backend/src/services/money.service.ts|line:85","js/identity-replacement","warning","5.0","geezle-backend/src/services/money.service.ts","85","This replaces '0' with itself.","verified false positive","production reachability requires manual call-path review","The reported replace operation replaces the literal character 0 with itself and does not construct a security decision, query, path, command, or output from attacker-controlled data.","No source change required; retain the result as a reviewed false positive with the exact source operation documented.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-2","rule:js/request-forgery|primaryLocationLineHash:6c5032665bf17491:1|primaryLocationStartColumnFingerprint:23|artifact:geezle-backend/src/controllers/walletFunding.controller.ts|line:613","js/request-forgery","error","9.1","geezle-backend/src/controllers/walletFunding.controller.ts","613","The [URL](1) of this request depends on a [user-provided value](2). The [URL](1) of this request depends on a [user-provided value](3). The [URL](1) of this request depends on a [user-provided value](4).","accepted safe pattern","production-runtime/authenticated-route","walletFunding.fetchJson validates HTTPS, allowlisted provider hosts, blocked private/link-local destinations, and DNS results before fetch.","Retain outbound allowlist and regression coverage.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-3","rule:js/path-injection|primaryLocationLineHash:400f7ec9944c9791:1|primaryLocationStartColumnFingerprint:55|artifact:geezle-backend/src/controllers/admin.systemBackup.controller.ts|line:227","js/path-injection","error","7.5","geezle-backend/src/controllers/admin.systemBackup.controller.ts","227","This path depends on a [user-provided value](1).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-4","rule:js/path-injection|primaryLocationLineHash:e75f3fd62d47e4c4:1|primaryLocationStartColumnFingerprint:18|artifact:geezle-backend/src/controllers/admin.systemBackup.controller.ts|line:228","js/path-injection","error","7.5","geezle-backend/src/controllers/admin.systemBackup.controller.ts","228","This path depends on a [user-provided value](1).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-5","rule:js/path-injection|primaryLocationLineHash:296a14b2eb11fc2e:1|primaryLocationStartColumnFingerprint:14|artifact:geezle-backend/src/controllers/admin.systemBackup.controller.ts|line:267","js/path-injection","error","7.5","geezle-backend/src/controllers/admin.systemBackup.controller.ts","267","This path depends on a [user-provided value](1).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-6","rule:js/path-injection|primaryLocationLineHash:4350c364f15bee3e:1|primaryLocationStartColumnFingerprint:18|artifact:geezle-backend/src/controllers/filesController.ts|line:380","js/path-injection","error","7.5","geezle-backend/src/controllers/filesController.ts","380","This path depends on a [user-provided value](1). This path depends on a [user-provided value](2). This path depends on a [user-provided value](3). This path depends on a [user-provided value](4). This path depends on a [user-provided value](5). This path depends on a [user-provided value](6).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-7","rule:js/path-injection|primaryLocationLineHash:4350c364f15bee3e:1|primaryLocationStartColumnFingerprint:43|artifact:geezle-backend/src/controllers/filesController.ts|line:380","js/path-injection","error","7.5","geezle-backend/src/controllers/filesController.ts","380","This path depends on a [user-provided value](1). This path depends on a [user-provided value](2). This path depends on a [user-provided value](3). This path depends on a [user-provided value](4). This path depends on a [user-provided value](5). This path depends on a [user-provided value](6).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-8","rule:js/path-injection|primaryLocationLineHash:1e0ec86d451f3a88:1|primaryLocationStartColumnFingerprint:30|artifact:geezle-backend/src/controllers/filesController.ts|line:407","js/path-injection","error","7.5","geezle-backend/src/controllers/filesController.ts","407","This path depends on a [user-provided value](1). This path depends on a [user-provided value](2).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-9","rule:js/path-injection|primaryLocationLineHash:30527ee346aab85b:1|primaryLocationStartColumnFingerprint:23|artifact:geezle-backend/src/controllers/filesController.ts|line:408","js/path-injection","error","7.5","geezle-backend/src/controllers/filesController.ts","408","This path depends on a [user-provided value](1). This path depends on a [user-provided value](2).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
"run-1-result-10","rule:js/path-injection|primaryLocationLineHash:218cc5f78149303f:1|primaryLocationStartColumnFingerprint:31|artifact:geezle-backend/src/controllers/filesController.ts|line:1070","js/path-injection","error","7.5","geezle-backend/src/controllers/filesController.ts","1070","This path depends on a [user-provided value](1). This path depends on a [user-provided value](2).","accepted safe pattern","production-runtime/authenticated-route","Filesystem access is constrained by requirePathWithin/isPathWithin against an approved root before access; traversal is rejected.","Retain fixed-root containment tests.","Backend security owner","2026-09-24","","5c0fd8ba60371746b48f0d74485a15e2d413f790"
